build_id,ship_name,upgrade_name
1,Imperial II-class Star Destroyer (120),Chimaera (4)
1,Imperial II-class Star Destroyer (120),Expert Shield Tech (5)
1,Imperial II-class Star Destroyer (120),Boarding Troopers (3)
1,Imperial II-class Star Destroyer (120),Early Warning System (7)
1,Imperial II-class Star Destroyer (120),Point Defense Ion Cannons (6)
1,Imperial II-class Star Destroyer (120),Dual Turbolaser Turrets (4)
1,Imperial II-class Star Destroyer (120),Entrapment Formation! (5)
2,Imperial II-class Star Destroyer (120),Expert Shield Tech (5)
2,Imperial II-class Star Destroyer (120),Boarding Troopers (3)
2,Imperial II-class Star Destroyer (120),Early Warning System (7)
2,Imperial II-class Star Destroyer (120),Point Defense Ion Cannons (6)
2,Imperial II-class Star Destroyer (120),Dual Turbolaser Turrets (4)
3,Gozanti-class Cruisers (23),Suppressor (4)
3,Gozanti-class Cruisers (23),Minister Tua (2)
3,Gozanti-class Cruisers (23),Electronic Countermeasures (7)
3,Gozanti-class Cruisers (23),Comms Net (2)
4,Gozanti-class Cruisers (23),Darth Vader (4)
4,Gozanti-class Cruisers (23),Comms Net (2)
5,Providence-class Carrier (102),Invincible (5)
5,Providence-class Carrier (102),Rune Haako (4)
5,Providence-class Carrier (102),Thermal Shields (5)
5,Providence-class Carrier (102),Early Warning System (7)
5,Providence-class Carrier (102),Reserve Hangar Deck (4)
5,Providence-class Carrier (102),External Racks (4)
5,Providence-class Carrier (102),Point Defense Ion Cannons (6)
5,Providence-class Carrier (102),H9 Turbolasers (8)
5,Providence-class Carrier (102),Intensify Firepower! (6)
6,Recusant-class Light Destroyer (85),Patriot Fist (6)
6,Recusant-class Light Destroyer (85),Tikkes (2)
6,Recusant-class Light Destroyer (85),Sensor Team (5)
6,Recusant-class Light Destroyer (85),Reserve Hangar Deck (4)
6,Recusant-class Light Destroyer (85),External Racks (4)
6,Recusant-class Light Destroyer (85),Spinal Armament (9)
7,MC75 Armored Cruiser (99),Ahsoka Tano (2)
7,MC75 Armored Cruiser (99),Flag Bridge (0)
7,MC75 Armored Cruiser (99),Reinforced Blast Doors (5)
7,MC75 Armored Cruiser (99),External Racks (4)
7,MC75 Armored Cruiser (99),Point Defense Ion Cannons (6)
7,MC75 Armored Cruiser (99),Intensify Firepower! (6)
8,MC75 Armored Cruiser (99),Profundity (7)
8,MC75 Armored Cruiser (99),Lando Calrissian (4)
8,MC75 Armored Cruiser (99),Boarding Troopers (3)
8,MC75 Armored Cruiser (99),Reinforced Blast Doors (5)
8,MC75 Armored Cruiser (99),External Racks (4)
8,MC75 Armored Cruiser (99),Point Defense Ion Cannons (6)
8,MC75 Armored Cruiser (99),Quad Battery Turrets (5)
9,CR90 Corvette B (39),Hondo Ohnaka (2)
9,CR90 Corvette B (39),Overload Pulse (6)
10,GR-75 Medium Transports (18),Leia Organa (3)
10,GR-75 Medium Transports (18),Comms Net (2)
11,Imperial Star Destroyer Kuat Refit (112),Sovereign (4)
11,Imperial Star Destroyer Kuat Refit (112),Admiral Montferrat (5)
11,Imperial Star Destroyer Kuat Refit (112),Boarding Troopers (3)
11,Imperial Star Destroyer Kuat Refit (112),Electronic Countermeasures (7)
11,Imperial Star Destroyer Kuat Refit (112),External Racks (4)
11,Imperial Star Destroyer Kuat Refit (112),Leading Shots (5)
12,Quasar Fire I-class Cruiser-Carrier (54),Squall (7)
12,Quasar Fire I-class Cruiser-Carrier (54),Admiral Chiraneau (10)
12,Quasar Fire I-class Cruiser-Carrier (54),Flight Controllers (6)
12,Quasar Fire I-class Cruiser-Carrier (54),Boosted Comms (4)
13,Gozanti-class Cruisers (23),Parts Resupply (3)
14,Onager-class Testbed (116),Governor Pryce (6)
14,Onager-class Testbed (116),Gunnery Chief Varnillian (6)
14,Onager-class Testbed (116),Ordnance Experts (4)
14,Onager-class Testbed (116),Orbital Bombardment Particle Cannons (5)
15,Victory II-class Star Destroyer (80),Harrow (3)
15,Victory II-class Star Destroyer (80),Minister Tua (2)
15,Victory II-class Star Destroyer (80),Gunnery Team (7)
15,Victory II-class Star Destroyer (80),Electronic Countermeasures (7)
15,Victory II-class Star Destroyer (80),Disposable Capacitors (3)
15,Victory II-class Star Destroyer (80),Point Defense Ion Cannons (6)
15,Victory II-class Star Destroyer (80),XI7 Turbolasers (6)
16,Gozanti-class Cruisers (23),Darth Vader (4)
16,Gozanti-class Cruisers (23),Parts Resupply (3)
17,Gozanti-class Cruisers (23),Comms Net (2)
18,MC80 Command Cruiser (102),Home One (5)
18,MC80 Command Cruiser (102),Expert Shield Tech (5)
18,MC80 Command Cruiser (102),Engine Techs (8)
18,MC80 Command Cruiser (102),Flag Bridge (0)
18,MC80 Command Cruiser (102),Electronic Countermeasures (7)
18,MC80 Command Cruiser (102),Point Defense Ion Cannons (6)
18,MC80 Command Cruiser (102),Intensify Firepower! (6)
19,MC75 Ordnance Cruiser (95),Profundity (7)
19,MC75 Ordnance Cruiser (95),Walex Blissex (5)
19,MC75 Ordnance Cruiser (95),Ordnance Experts (4)
19,MC75 Ordnance Cruiser (95),Electronic Countermeasures (7)
19,MC75 Ordnance Cruiser (95),Expanded Launchers (8)
19,MC75 Ordnance Cruiser (95),External Racks (4)
20,CR90 Corvette B (39),Tantive IV (3)
20,CR90 Corvette B (39),Hondo Ohnaka (2)
20,CR90 Corvette B (39),Projection Experts (6)
21,Hammerhead Torpedo Corvette (36),Veteran Captain (2)
21,Hammerhead Torpedo Corvette (36),Shriv Suurgav (4)
21,Hammerhead Torpedo Corvette (36),External Racks (4)
22,Assault Frigate Mark II B (72),Intel Officer (7)
22,Assault Frigate Mark II B (72),Caitken and Shollan (6)
22,Assault Frigate Mark II B (72),Electronic Countermeasures (7)
22,Assault Frigate Mark II B (72),Slaved Turrets (6)
23,MC30c Scout Frigate (69),Foresight (10)
23,MC30c Scout Frigate (69),Expert Shield Tech (5)
23,MC30c Scout Frigate (69),Ordnance Experts (4)
23,MC30c Scout Frigate (69),External Racks (4)
23,MC30c Scout Frigate (69),H9 Turbolasers (8)
24,GR-75 Medium Transports (18),Ezra Bridger (3)
24,GR-75 Medium Transports (18),Comms Net (2)
25,GR-75 Medium Transports (18),Hondo Ohnaka (2)
25,GR-75 Medium Transports (18),Comms Net (2)
26,Assault Frigate Mark II B (72),Gallant Haven (8)
26,Assault Frigate Mark II B (72),Intel Officer (7)
26,Assault Frigate Mark II B (72),Caitken and Shollan (6)
26,Assault Frigate Mark II B (72),Electronic Countermeasures (7)
26,Assault Frigate Mark II B (72),XI7 Turbolasers (6)
27,CR90 Corvette A (44),Jaina's Light (5)
27,CR90 Corvette A (44),Turbolaser Reroute Circuits (7)
28,GR-75 Medium Transports (18),Toryn Farr (7)
28,GR-75 Medium Transports (18),Boosted Comms (4)
28,GR-75 Medium Transports (18),Comms Net (2)
29,GR-75 Medium Transports (18),Boosted Comms (4)
29,GR-75 Medium Transports (18),Comms Net (2)
30,Assault Frigate Mark II B (72),Hondo Ohnaka (2)
31,MC75 Armored Cruiser (99),Profundity (7)
31,MC75 Armored Cruiser (99),Ezra Bridger (3)
31,MC75 Armored Cruiser (99),Electronic Countermeasures (7)
31,MC75 Armored Cruiser (99),Boarding Troopers (3)
31,MC75 Armored Cruiser (99),External Racks (4)
31,MC75 Armored Cruiser (99),Point Defense Ion Cannons (6)
31,MC75 Armored Cruiser (99),Quad Battery Turrets (5)
32,CR90 Corvette B (39),Overload Pulse (6)
33,GR-75 Medium Transports (18),Comms Net (2)
34,CR90 Corvette B (39),Toryn Farr (7)
34,CR90 Corvette B (39),Tantive IV (3)
35,MC75 Armored Cruiser (99),Profundity (7)
35,MC75 Armored Cruiser (99),Hondo Ohnaka (2)
35,MC75 Armored Cruiser (99),Ordnance Experts (4)
35,MC75 Armored Cruiser (99),Rapid Launch Bays (6)
35,MC75 Armored Cruiser (99),Electronic Countermeasures (7)
35,MC75 Armored Cruiser (99),External Racks (4)
35,MC75 Armored Cruiser (99),Point Defense Ion Cannons (6)
36,Hammerhead Torpedo Corvette (36),Ezra Bridger (3)
36,Hammerhead Torpedo Corvette (36),Ordnance Experts (4)
36,Hammerhead Torpedo Corvette (36),External Racks (4)
37,Providence-class Carrier (102),Rune Haako (4)
37,Providence-class Carrier (102),Thermal Shields (5)
37,Providence-class Carrier (102),B2 Rocket Troopers (7)
37,Providence-class Carrier (102),Assault Proton Torpedoes (4)
37,Providence-class Carrier (102),XI7 Turbolasers (6)
37,Providence-class Carrier (102),Intensify Firepower! (6)
38,Recusant-class Light Destroyer (85),Patriot Fist (6)
38,Recusant-class Light Destroyer (85),Tikkes (2)
38,Recusant-class Light Destroyer (85),Veteran Gunners (5)
38,Recusant-class Light Destroyer (85),B2 Rocket Troopers (7)
38,Recusant-class Light Destroyer (85),Assault Proton Torpedoes (4)
38,Recusant-class Light Destroyer (85),Swivel-Mount Batteries (8)
39,Recusant-class Light Destroyer (85),Nova Defiant (4)
39,Recusant-class Light Destroyer (85),Shu Mai (4)
39,Recusant-class Light Destroyer (85),Gunnery Team (7)
39,Recusant-class Light Destroyer (85),B2 Rocket Troopers (7)
39,Recusant-class Light Destroyer (85),Assault Proton Torpedoes (4)
39,Recusant-class Light Destroyer (85),Swivel-Mount Batteries (8)
40,Venator II-class Star Destroyer (100),Tranquility (7)
40,Venator II-class Star Destroyer (100),Flight Commander (3)
40,Venator II-class Star Destroyer (100),Flight Controllers (6)
40,Venator II-class Star Destroyer (100),Flag Bridge (0)
40,Venator II-class Star Destroyer (100),Thermal Shields (5)
40,Venator II-class Star Destroyer (100),Linked Turbolaser Towers (7)
40,Venator II-class Star Destroyer (100),Mercy Mission (5)
41,Pelta-class Medical Frigate (49),TB-73 (5)
41,Pelta-class Medical Frigate (49),Flight Commander (3)
41,Pelta-class Medical Frigate (49),Projection Experts (6)
41,Pelta-class Medical Frigate (49),Bomber Command Center (8)
42,Consular-class Armed Cruiser (37),Radiant VII (1)
42,Consular-class Armed Cruiser (37),Comms Net (2)
43,MC80 Command Cruiser (102),Home One (5)
43,MC80 Command Cruiser (102),Expert Shield Tech (5)
43,MC80 Command Cruiser (102),Engine Techs (8)
43,MC80 Command Cruiser (102),Early Warning System (7)
43,MC80 Command Cruiser (102),Flag Bridge (0)
43,MC80 Command Cruiser (102),Point Defense Ion Cannons (6)
43,MC80 Command Cruiser (102),Intensify Firepower! (6)
44,MC75 Ordnance Cruiser (95),Profundity (7)
44,MC75 Ordnance Cruiser (95),Walex Blissex (5)
44,MC75 Ordnance Cruiser (95),Ordnance Experts (4)
44,MC75 Ordnance Cruiser (95),Electronic Countermeasures (7)
44,MC75 Ordnance Cruiser (95),Expanded Launchers (8)
44,MC75 Ordnance Cruiser (95),External Racks (4)
45,Hammerhead Torpedo Corvette (36),Ezra Bridger (3)
45,Hammerhead Torpedo Corvette (36),Shriv Suurgav (4)
45,Hammerhead Torpedo Corvette (36),External Racks (4)
46,GR-75 Medium Transports (18),Hondo Ohnaka (2)
46,GR-75 Medium Transports (18),Comms Net (2)
47,GR-75 Medium Transports (18),Slicer Tools (7)
48,Imperial II-class Star Destroyer (120),Captain Brunson (9)
48,Imperial II-class Star Destroyer (120),Boarding Troopers (3)
48,Imperial II-class Star Destroyer (120),Electronic Countermeasures (7)
48,Imperial II-class Star Destroyer (120),Point Defense Ion Cannons (6)
48,Imperial II-class Star Destroyer (120),Dual Turbolaser Turrets (4)
49,Gladiator I-class Star Destroyer (56),Demolisher (10)
49,Gladiator I-class Star Destroyer (56),Minister Tua (2)
49,Gladiator I-class Star Destroyer (56),Ordnance Experts (4)
49,Gladiator I-class Star Destroyer (56),Electronic Countermeasures (7)
49,Gladiator I-class Star Destroyer (56),External Racks (4)
50,Gozanti-class Cruisers (23),Comms Net (2)
51,Imperial II-class Star Destroyer (120),Captain Needa (2)
51,Imperial II-class Star Destroyer (120),Flight Controllers (6)
51,Imperial II-class Star Destroyer (120),Expanded Hangar Bay (5)
51,Imperial II-class Star Destroyer (120),Electronic Countermeasures (7)
51,Imperial II-class Star Destroyer (120),Ion Cannon Batteries (5)
51,Imperial II-class Star Destroyer (120),Turbolaser Reroute Circuits (7)
52,Gladiator I-class Star Destroyer (56),Demolisher (10)
52,Gladiator I-class Star Destroyer (56),Skilled First Officer (1)
52,Gladiator I-class Star Destroyer (56),Ordnance Experts (4)
52,Gladiator I-class Star Destroyer (56),External Racks (4)
53,Gozanti-class Cruisers (23),Hondo Ohnaka (2)
53,Gozanti-class Cruisers (23),Reserve Hangar Deck (4)
53,Gozanti-class Cruisers (23),Comms Net (2)
54,Imperial II-class Star Destroyer (120),Seventh Fleet Star Destroyer (5)
54,Imperial II-class Star Destroyer (120),Captain Brunson (9)
